date,entry_bar,exit_bar,hold_bars,direction,atm_strike,synth_strike,entry_ce,entry_pe,entry_sce,entry_spe,exit_ce,exit_pe,exit_sce,exit_spe,entry_spread,exit_spread,arb_gross,synth_gross,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260410,2026-04-10 11:01:00+05:30,2026-04-10 11:04:00+05:30,3,-1 (buy CE / sell CE@ATM-100),55800,55700,1135.75,933.85,1201.5,896.95,1125.4,953.45,1186.0,911.1,-31.1,1.35,-898.5,889.5,30,-9.0,485.69,-494.69,Revert,2026-04
20260410,2026-04-10 11:06:00+05:30,2026-04-10 11:29:00+05:30,23,-1 (buy CE / sell CE@ATM-100),55800,55700,1117.5,952.05,1175.0,912.6,1086.25,979.0,1145.25,939.65,-26.35,-4.75,-1746.0,1704.0,30,-42.0,484.36,-526.36,Revert,2026-04
20260410,2026-04-10 11:32:00+05:30,2026-04-10 12:02:00+05:30,30,-1 (buy CE / sell CE@ATM-100),55800,55700,1104.4,962.0,1167.35,921.15,1084.0,971.0,1140.4,928.45,-29.6,-6.2,-882.0,1027.5,30,145.5,483.48,-337.98,MaxHold,2026-04
20260410,2026-04-10 12:05:00+05:30,2026-04-10 12:25:00+05:30,20,-1 (buy CE / sell CE@ATM-100),55800,55700,1098.35,959.2,1155.5,921.1,1125.0,928.4,1184.4,890.4,-25.85,-3.4,1723.5,-1788.0,30,-64.5,482.75,-547.25,Revert,2026-04
20260410,2026-04-10 12:26:00+05:30,2026-04-10 12:29:00+05:30,3,-1 (buy CE / sell CE@ATM-100),55800,55700,1116.35,934.85,1181.0,896.95,1103.05,943.0,1167.7,902.95,-33.5,-2.35,-643.5,579.0,30,-64.5,482.16,-546.66,Revert,2026-04
20260410,2026-04-10 12:31:00+05:30,2026-04-10 12:54:00+05:30,23,-1 (buy CE / sell CE@ATM-100),55800,55700,1100.0,953.05,1162.25,913.3,1082.25,962.55,1142.0,920.0,-36.25,-3.5,-817.5,808.5,30,-9.0,481.83,-490.83,Revert,2026-04
20260410,2026-04-10 12:56:00+05:30,2026-04-10 13:26:00+05:30,30,-1 (buy CE / sell CE@ATM-100),55800,55700,1088.45,958.55,1148.1,918.15,1125.0,933.4,1181.2,890.0,-28.7,-8.6,1851.0,-1837.5,30,13.5,482.11,-468.61,MaxHold,2026-04
20260410,2026-04-10 13:29:00+05:30,2026-04-10 13:49:00+05:30,20,-1 (buy CE / sell CE@ATM-100),55800,55700,1133.85,926.95,1193.0,889.2,1114.35,937.5,1168.4,896.8,-28.5,-4.15,-901.5,966.0,30,64.5,482.76,-418.26,Revert,2026-04
20260410,2026-04-10 13:54:00+05:30,2026-04-10 14:24:00+05:30,30,-1 (buy CE / sell CE@ATM-100),55800,55700,1128.45,927.45,1187.6,887.0,1036.85,998.05,1092.2,956.45,-26.8,-1.4,-4866.0,4945.5,30,79.5,481.13,-401.63,Revert,2026-04
20260410,2026-04-10 14:32:00+05:30,2026-04-10 14:56:00+05:30,24,-1 (buy CE / sell CE@ATM-100),55800,55700,1048.0,1002.0,1107.0,961.7,1086.0,954.25,1147.0,915.85,-34.2,-3.45,2572.5,-2575.5,30,-3.0,481.35,-484.35,Revert,2026-04
20260410,2026-04-10 15:01:00+05:30,2026-04-10 15:04:00+05:30,3,-1 (buy CE / sell CE@ATM-100),55800,55700,1088.95,939.8,1150.25,895.8,1116.75,910.1,1177.6,874.8,-28.65,3.25,1725.0,-1450.5,30,274.5,479.14,-204.64,Revert,2026-04
20260410,2026-04-10 15:08:00+05:30,2026-04-10 15:24:00+05:30,16,-1 (buy CE / sell CE@ATM-100),55800,55700,1148.05,884.35,1210.55,847.45,1151.05,885.95,1211.85,850.1,-26.3,-39.3,42.0,40.5,30,82.5,480.26,-397.76,EOD,2026-04
