expiry,entry_date,exit_date,entry_ts,exit_ts,strike,lot_size,fut_entry,fut_exit,put_entry,put_exit,put_exit_method,call_entry,call_exit,call_exit_method,net_option_cost,fut_gross,put_gross,call_gross,gross_pnl,charges,pnl
2025-11-25,20251110,20251125,2025-11-10 09:30:01.075000+05:30,2025-11-25 15:14:59.459000+05:30,57900,35,58242.2,58822.4,425.65,0.0,intrinsic,781.15,922.4,intrinsic,-355.5,20307.0,-14897.75,-4943.75,465.5,482.6,-17.1
2025-12-30,20251126,20251230,2025-11-26 09:30:00.352000+05:30,2025-12-30 15:14:59.802000+05:30,58800,35,59433.0,59163.4,512.05,0.15,tick,1138.95,366.0,tick,-626.9,-9436.0,-17916.5,27053.25,-299.25,454.41,-753.66
2026-01-27,20260101,20260127,2026-01-01 09:30:00.592000+05:30,2026-01-27 15:14:59.981000+05:30,59600,30,59903.8,59136.0,483.2,464.0,intrinsic,772.0,0.0,intrinsic,-288.8,-23034.0,-576.0,23160.0,-450.0,410.26,-860.26
2026-02-24,20260128,20260224,2026-01-28 09:30:00.833000+05:30,2026-02-24 15:14:59.423000+05:30,59600,30,59844.8,61031.8,848.85,0.0,intrinsic,1088.8,1431.8,intrinsic,-239.95,35610.0,-25465.5,-10290.0,-145.5,481.1,-626.6
2026-03-30,20260225,20260330,2026-02-25 09:30:00.793000+05:30,2026-03-30 15:14:59.692000+05:30,61200,30,61631.6,50276.8,678.05,10923.2,intrinsic,1104.65,0.0,intrinsic,-426.6,-340644.0,307354.5,33139.5,-150.0,993.95,-1143.95
