date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,exit_ce,exit_pe,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260407,2026-04-07 13:26:00+05:30,2026-04-07 13:31:00+05:30,5,+1 (sell CE / buy PE),52400,1509.05,1534.0,1561.2,1472.15,29.85,1.05,30,-3420.0,308.1,-3728.1,Revert,2026-04
20260407,2026-04-07 13:34:00+05:30,2026-04-07 13:54:00+05:30,20,+1 (sell CE / buy PE),52400,1616.05,1430.4,1695.0,1356.8,34.25,-1.8,30,-4576.5,308.03,-4884.53,Revert,2026-04
20260407,2026-04-07 14:10:00+05:30,2026-04-07 14:17:00+05:30,7,-1 (buy CE / sell PE),52400,1649.9,1393.55,1656.6,1396.3,-29.25,0.3,30,118.5,311.41,-192.91,Revert,2026-04
20260407,2026-04-07 14:19:00+05:30,2026-04-07 14:23:00+05:30,4,+1 (sell CE / buy PE),52400,1645.0,1402.0,1635.45,1417.15,41.0,-1.7,30,741.0,311.98,429.02,Revert,2026-04
20260407,2026-04-07 14:24:00+05:30,2026-04-07 14:28:00+05:30,4,+1 (sell CE / buy PE),52400,1650.55,1399.5,1673.7,1391.05,28.45,2.65,30,-948.0,311.28,-1259.28,Revert,2026-04
20260407,2026-04-07 14:33:00+05:30,2026-04-07 14:46:00+05:30,13,+1 (sell CE / buy PE),52400,1681.9,1364.05,1660.0,1399.35,27.85,4.65,30,1716.0,312.9,1403.1,Revert,2026-04
20260407,2026-04-07 14:54:00+05:30,2026-04-07 14:55:00+05:30,1,+1 (sell CE / buy PE),52400,1710.45,1334.55,1739.05,1305.85,27.7,1.2,30,-1719.0,309.83,-2028.83,Revert,2026-04
20260408,2026-04-08 09:53:00+05:30,2026-04-08 09:58:00+05:30,5,-1 (buy CE / sell PE),55100,1260.25,997.1,1225.4,1021.7,-26.65,3.7,30,-1783.5,253.37,-2036.87,Revert,2026-04
20260408,2026-04-08 09:59:00+05:30,2026-04-08 10:00:00+05:30,1,-1 (buy CE / sell PE),55100,1222.25,1017.6,1256.55,1005.0,-25.35,1.55,30,1407.0,255.6,1151.4,Revert,2026-04
20260408,2026-04-08 10:03:00+05:30,2026-04-08 10:12:00+05:30,9,-1 (buy CE / sell PE),55100,1234.2,998.55,1236.05,1000.65,-26.35,-4.6,30,-7.5,253.43,-260.93,Revert,2026-04
20260408,2026-04-08 10:23:00+05:30,2026-04-08 10:28:00+05:30,5,-1 (buy CE / sell PE),55100,1250.65,984.5,1290.0,955.0,-30.85,-0.4,30,2065.5,255.33,1810.17,Revert,2026-04
20260408,2026-04-08 10:30:00+05:30,2026-04-08 10:52:00+05:30,22,-1 (buy CE / sell PE),55100,1306.5,939.95,1348.7,899.0,-29.85,-0.3,30,2494.5,256.15,2238.35,Revert,2026-04
20260408,2026-04-08 10:59:00+05:30,2026-04-08 11:04:00+05:30,5,-1 (buy CE / sell PE),55100,1392.2,867.2,1396.75,865.0,-32.4,0.55,30,202.5,255.42,-52.92,Revert,2026-04
20260408,2026-04-08 11:18:00+05:30,2026-04-08 11:32:00+05:30,14,-1 (buy CE / sell PE),55100,1398.35,871.5,1394.4,880.0,-32.75,3.2,30,-373.5,255.82,-629.32,Revert,2026-04
20260408,2026-04-08 11:44:00+05:30,2026-04-08 11:51:00+05:30,7,-1 (buy CE / sell PE),55100,1370.05,890.0,1339.9,903.1,-29.35,-0.4,30,-1297.5,253.68,-1551.18,Revert,2026-04
20260408,2026-04-08 11:58:00+05:30,2026-04-08 12:00:00+05:30,2,-1 (buy CE / sell PE),55100,1310.65,921.6,1310.95,915.6,-27.75,-4.65,30,189.0,253.19,-64.19,Revert,2026-04
20260408,2026-04-08 12:01:00+05:30,2026-04-08 12:05:00+05:30,4,-1 (buy CE / sell PE),55100,1314.95,913.95,1377.9,878.65,-27.0,-0.75,30,2947.5,256.17,2691.33,Revert,2026-04
20260408,2026-04-08 12:21:00+05:30,2026-04-08 12:31:00+05:30,10,-1 (buy CE / sell PE),55100,1360.3,886.0,1300.4,923.75,-25.7,-3.35,30,-2929.5,251.32,-3180.82,Revert,2026-04
20260408,2026-04-08 12:37:00+05:30,2026-04-08 12:41:00+05:30,4,-1 (buy CE / sell PE),55100,1315.0,926.5,1317.5,920.0,-26.5,-2.5,30,270.0,253.97,16.03,Revert,2026-04
20260408,2026-04-08 12:55:00+05:30,2026-04-08 13:00:00+05:30,5,-1 (buy CE / sell PE),55100,1394.05,864.2,1370.0,862.6,-26.35,3.6,30,-673.5,253.7,-927.2,Revert,2026-04
20260408,2026-04-08 13:11:00+05:30,2026-04-08 13:15:00+05:30,4,-1 (buy CE / sell PE),55100,1381.3,870.0,1373.1,875.15,-29.9,-2.05,30,-400.5,254.21,-654.71,Revert,2026-04
20260408,2026-04-08 13:19:00+05:30,2026-04-08 13:21:00+05:30,2,-1 (buy CE / sell PE),55100,1361.55,885.0,1359.75,883.15,-30.65,-3.4,30,1.5,254.15,-252.65,Revert,2026-04
20260408,2026-04-08 13:28:00+05:30,2026-04-08 13:54:00+05:30,26,-1 (buy CE / sell PE),55100,1385.65,874.7,1371.5,876.0,-27.85,-4.5,30,-463.5,254.46,-717.96,Revert,2026-04
