date,opt_type,strike,direction,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,57900,LONG,2025-11-10 09:41:00.628000+05:30,2025-11-10 09:48:00.838000+05:30,790.95,802.95,35,420.0,113.68,306.32,Flip,2025-11
20251110,CE,57900,SHORT,2025-11-10 09:48:00.838000+05:30,2025-11-10 09:57:00.382000+05:30,802.95,788.15,35,518.0,113.63,404.37,Flip,2025-11
20251110,CE,57900,LONG,2025-11-10 09:57:00.382000+05:30,2025-11-10 10:10:00.630000+05:30,788.15,769.35,35,-658.0,111.37,-769.37,Flip,2025-11
20251110,CE,57900,SHORT,2025-11-10 10:10:00.630000+05:30,2025-11-10 10:30:00.318000+05:30,769.35,803.3,35,-1188.25,111.61,-1299.86,Flip,2025-11
20251110,CE,57900,LONG,2025-11-10 10:30:00.318000+05:30,2025-11-10 10:33:00.057000+05:30,803.3,816.15,35,449.75,114.76,334.99,Flip,2025-11
20251110,CE,57900,SHORT,2025-11-10 10:33:00.057000+05:30,2025-11-10 10:36:01.059000+05:30,816.15,804.5,35,407.75,114.78,292.97,Flip,2025-11
20251110,CE,57900,LONG,2025-11-10 10:36:01.059000+05:30,2025-11-10 10:49:00.860000+05:30,804.5,796.8,35,-269.5,113.48,-382.98,Flip,2025-11
20251110,CE,57900,SHORT,2025-11-10 10:49:00.860000+05:30,2025-11-10 10:51:00.183000+05:30,796.8,772.25,35,859.25,112.97,746.28,Flip,2025-11
20251110,CE,57900,LONG,2025-11-10 10:51:00.183000+05:30,2025-11-10 10:53:00.607000+05:30,772.25,788.0,35,551.25,112.38,438.87,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 09:27:00.040000+05:30,2025-11-11 09:39:00.611000+05:30,694.75,664.05,35,-1074.5,102.82,-1177.32,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 09:39:00.611000+05:30,2025-11-11 09:47:00.207000+05:30,664.05,659.8,35,148.75,102.27,46.48,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 09:47:00.207000+05:30,2025-11-11 09:57:00.156000+05:30,659.8,641.55,35,-638.75,100.75,-739.5,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 09:57:00.156000+05:30,2025-11-11 10:05:00.748000+05:30,641.55,625.4,35,565.25,100.21,465.04,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 10:05:00.748000+05:30,2025-11-11 10:10:00.568000+05:30,625.4,637.85,35,435.75,99.96,335.79,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 10:10:00.568000+05:30,2025-11-11 10:14:00.156000+05:30,637.85,617.9,35,698.25,99.84,598.41,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 10:14:00.156000+05:30,2025-11-11 10:20:00.396000+05:30,617.9,613.8,35,-143.5,98.23,-241.73,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 10:20:00.396000+05:30,2025-11-11 10:24:00.340000+05:30,613.8,597.0,35,588.0,97.9,490.1,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 10:24:00.340000+05:30,2025-11-11 10:32:00.676000+05:30,597.0,595.2,35,-63.0,96.65,-159.65,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 10:32:00.676000+05:30,2025-11-11 10:36:00.616000+05:30,595.2,580.95,35,498.75,96.39,402.36,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 10:36:00.616000+05:30,2025-11-11 10:46:00.279000+05:30,580.95,576.95,35,-140.0,95.16,-235.16,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 10:46:00.279000+05:30,2025-11-11 11:05:00.135000+05:30,576.95,600.0,35,-806.75,95.47,-902.22,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 11:05:00.135000+05:30,2025-11-11 11:09:00.229000+05:30,600.0,609.0,35,315.0,97.62,217.38,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 11:09:00.229000+05:30,2025-11-11 11:15:00.365000+05:30,609.0,601.95,35,246.75,97.65,149.1,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 11:15:00.365000+05:30,2025-11-11 11:26:00.074000+05:30,601.95,598.4,35,-124.25,96.94,-221.19,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 11:26:00.074000+05:30,2025-11-11 11:34:00.548000+05:30,598.4,604.1,35,-199.5,96.97,-296.47,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 11:34:00.548000+05:30,2025-11-11 11:35:00.646000+05:30,604.1,615.0,35,381.5,98.09,283.41,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 11:35:00.646000+05:30,2025-11-11 11:51:00.995000+05:30,615.0,629.55,35,-509.25,98.49,-607.74,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 11:51:00.995000+05:30,2025-11-11 11:53:00.427000+05:30,629.55,652.0,35,785.75,100.98,684.77,Flip,2025-11
20251111,CE,57900,SHORT,2025-11-11 11:53:00.427000+05:30,2025-11-11 11:59:00.270000+05:30,652.0,661.8,35,-343.0,101.49,-444.49,Flip,2025-11
20251111,CE,57900,LONG,2025-11-11 11:59:00.270000+05:30,2025-11-11 12:06:00.264000+05:30,661.8,675.6,35,483.0,103.07,379.93,Flip,2025-11
20251112,CE,58100,LONG,2025-11-12 09:29:00.345000+05:30,2025-11-12 09:33:00.103000+05:30,796.25,838.55,35,1480.5,116.15,1364.35,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 09:35:00.686000+05:30,2025-11-13 09:40:00.336000+05:30,649.9,656.05,35,215.25,101.57,113.68,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 09:40:00.336000+05:30,2025-11-13 09:55:00.872000+05:30,656.05,696.2,35,-1405.25,102.3,-1507.55,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 09:55:00.872000+05:30,2025-11-13 09:57:00.939000+05:30,696.2,724.35,35,985.25,106.9,878.35,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 09:57:00.939000+05:30,2025-11-13 10:21:00.063000+05:30,724.35,768.6,35,-1548.75,108.04,-1656.79,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 10:21:00.063000+05:30,2025-11-13 10:33:00.131000+05:30,768.6,782.3,35,479.5,111.93,367.57,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 10:33:00.131000+05:30,2025-11-13 10:58:00.048000+05:30,782.3,811.25,35,-1013.25,112.61,-1125.86,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 10:58:00.048000+05:30,2025-11-13 11:00:00.221000+05:30,811.25,820.0,35,306.25,115.14,191.11,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 11:00:00.221000+05:30,2025-11-13 11:10:00.897000+05:30,820.0,841.65,35,-757.75,115.62,-873.37,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 11:10:00.897000+05:30,2025-11-13 11:25:00.142000+05:30,841.65,799.0,35,-1492.75,114.21,-1606.96,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 11:25:00.142000+05:30,2025-11-13 11:31:00.516000+05:30,799.0,805.85,35,-239.75,113.65,-353.4,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 11:31:00.516000+05:30,2025-11-13 11:37:00.850000+05:30,805.85,814.85,35,315.0,114.71,200.29,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 11:37:00.850000+05:30,2025-11-13 11:42:00.144000+05:30,814.85,828.6,35,-481.25,115.07,-596.32,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 11:42:00.144000+05:30,2025-11-13 11:49:00.948000+05:30,828.6,834.3,35,199.5,116.38,83.12,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 11:49:00.948000+05:30,2025-11-13 11:58:00.199000+05:30,834.3,835.25,35,-33.25,116.48,-149.73,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 11:58:00.199000+05:30,2025-11-13 12:00:00.017000+05:30,835.25,850.45,35,532.0,117.57,414.43,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 12:00:00.017000+05:30,2025-11-13 12:15:00.120000+05:30,850.45,844.2,35,218.75,117.71,101.04,Flip,2025-11
20251113,CE,58200,LONG,2025-11-13 12:15:00.120000+05:30,2025-11-13 12:21:00.530000+05:30,844.2,851.1,35,241.5,117.75,123.75,Flip,2025-11
20251113,CE,58200,SHORT,2025-11-13 12:21:00.530000+05:30,2025-11-13 12:26:00.555000+05:30,851.1,837.2,35,486.5,117.64,368.86,Flip,2025-11
