date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260202,"(-3,-2)  w=100",100,-3,-2,13100,12800,12900,2026-02-02 12:14:00+05:30,2026-02-02 12:18:00+05:30,4,120,425.0,385.05,191.75,230.4,456.35,389.9,190.25,226.3,78.6,102.5,-21.4,2.5,2868.0,546.02,2321.98,Revert
20260202,"(-3,-2)  w=100",100,-3,-2,13100,12800,12900,2026-02-02 12:22:00+05:30,2026-02-02 12:45:00+05:30,23,120,456.35,371.7,200.3,238.15,433.0,373.0,202.2,240.0,122.5,97.8,22.5,-2.2,2964.0,548.89,2415.11,Revert
20260202,"(-3,-2)  w=100",100,-3,-2,13100,12800,12900,2026-02-02 12:58:00+05:30,2026-02-02 13:04:00+05:30,6,120,429.15,387.65,187.1,224.2,465.0,400.0,179.1,213.4,78.6,99.3,-21.4,-0.7,2484.0,544.4,1939.6,Revert
20260202,"(-3,-2)  w=100",100,-3,-2,13100,12800,12900,2026-02-02 13:20:00+05:30,2026-02-02 13:44:00+05:30,24,120,485.0,376.0,191.65,227.35,485.0,417.0,168.0,201.5,144.7,101.5,44.7,1.5,5184.0,555.76,4628.24,Revert
20260202,"(-3,-2)  w=100",100,-3,-2,13100,12800,12900,2026-02-02 14:51:00+05:30,2026-02-02 14:57:00+05:30,6,120,500.0,455.0,133.35,162.95,534.7,462.3,126.9,155.4,74.6,100.9,-25.4,0.9,3156.0,551.3,2604.7,Revert
20260202,"(-3,-2)  w=100",100,-3,-2,13100,12800,12900,2026-02-02 15:02:00+05:30,2026-02-02 15:24:00+05:30,22,120,534.7,490.0,115.75,145.7,588.0,515.0,110.2,134.7,74.65,97.5,-25.35,-2.5,2742.0,565.72,2176.28,Revert
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 09:38:00+05:30,2026-02-04 09:40:00+05:30,2,120,490.0,392.15,120.55,153.8,490.0,417.65,113.5,141.1,131.1,99.95,31.1,-0.05,3738.0,521.57,3216.43,Revert
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 10:23:00+05:30,2026-02-04 10:25:00+05:30,2,120,498.0,405.7,110.85,140.85,470.0,400.0,113.85,141.55,122.3,97.7,22.3,-2.3,2952.0,515.6,2436.4,Revert
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 11:11:00+05:30,2026-02-04 11:20:00+05:30,9,120,447.85,361.0,130.3,163.5,420.0,349.2,127.9,159.9,120.05,102.8,20.05,2.8,2070.0,497.7,1572.3,Revert
20260204,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-04 11:41:00+05:30,2026-02-04 11:48:00+05:30,7,120,450.0,358.65,114.95,144.15,450.0,380.65,110.4,140.2,120.55,99.15,20.55,-0.85,2568.0,496.55,2071.45,Revert
