date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260324,"(-3,+0)  w=300",300,-3,0,73700,73400,73700,2026-03-24 14:21:00+05:30,2026-03-24 14:26:00+05:30,5,20,923.95,732.9,261.9,349.8,955.9,744.55,250.1,338.55,278.95,299.8,-21.05,-0.2,417.0,297.22,119.78,Revert
20260327,"(-3,+0)  w=300",300,-3,0,74400,74100,74400,2026-03-27 14:31:00+05:30,2026-03-27 14:33:00+05:30,2,20,922.0,813.0,1254.15,1412.0,933.5,801.6,1266.05,1431.45,266.85,297.3,-33.15,-2.7,609.0,398.8,210.2,Revert
20260330,"(-3,+0)  w=300",300,-3,0,72800,72500,72800,2026-03-30 15:03:00+05:30,2026-03-30 15:04:00+05:30,1,20,517.7,422.0,1153.2,1336.4,519.45,421.35,1161.95,1363.0,278.9,299.15,-21.1,-0.85,405.0,352.66,52.34,Revert
20260402,"(-3,+0)  w=300",300,-3,0,71700,71400,71700,2026-04-02 14:17:00+05:30,2026-04-02 14:18:00+05:30,1,20,1605.8,1286.0,3.75,5.0,1530.05,1232.8,4.8,6.65,321.05,299.1,21.05,-0.9,439.0,323.74,115.26,Revert
20260402,"(-3,+0)  w=300",300,-3,0,71700,71400,71700,2026-04-02 14:19:00+05:30,2026-04-02 14:21:00+05:30,2,20,1662.2,1340.0,4.35,5.55,1654.3,1356.2,4.6,5.6,323.4,299.1,23.4,-0.9,486.0,332.26,153.74,Revert
20260402,"(-3,+0)  w=300",300,-3,0,71700,71400,71700,2026-04-02 14:31:00+05:30,2026-04-02 14:36:00+05:30,5,20,1752.65,1431.65,4.65,5.35,1690.0,1390.0,3.95,4.2,321.7,300.25,21.7,0.25,429.0,338.15,90.85,Revert
20260402,"(-3,+0)  w=300",300,-3,0,71700,71400,71700,2026-04-02 14:38:00+05:30,2026-04-02 14:45:00+05:30,7,20,1560.9,1285.8,3.7,5.15,1420.0,1122.35,3.15,4.6,276.55,299.1,-23.45,-0.9,451.0,317.36,133.64,Revert
20260402,"(-3,+0)  w=300",300,-3,0,71700,71400,71700,2026-04-02 14:49:00+05:30,2026-04-02 14:50:00+05:30,1,20,1532.0,1210.45,1.45,1.75,1597.85,1295.3,1.3,1.55,321.85,302.8,21.85,2.8,381.0,322.91,58.09,Revert
20260402,"(-3,+0)  w=300",300,-3,0,71700,71400,71700,2026-04-02 14:52:00+05:30,2026-04-02 15:02:00+05:30,10,20,1678.15,1356.45,1.4,1.75,1702.2,1401.65,1.85,1.7,322.05,300.4,22.05,0.4,433.0,334.89,98.11,Revert
20260406,"(-3,+0)  w=300",300,-3,0,73000,72700,73000,2026-04-06 09:40:00+05:30,2026-04-06 09:42:00+05:30,2,20,1273.35,1066.3,763.3,878.0,1111.35,943.0,820.05,949.3,321.75,297.6,21.75,-2.4,483.0,374.29,108.71,Revert
20260406,"(-3,+0)  w=300",300,-3,0,73000,72700,73000,2026-04-06 12:20:00+05:30,2026-04-06 12:21:00+05:30,1,20,1264.55,1119.6,653.6,770.3,1287.85,1099.35,667.85,780.95,261.65,301.6,-38.35,1.6,799.0,370.72,428.28,Revert
20260406,"(-3,+0)  w=300",300,-3,0,73000,72700,73000,2026-04-06 14:02:00+05:30,2026-04-06 14:07:00+05:30,5,20,1704.55,1506.5,522.45,603.6,1706.25,1484.5,529.1,609.0,279.2,301.65,-20.8,1.65,449.0,394.7,54.3,Revert
20260406,"(-3,+0)  w=300",300,-3,0,73000,72700,73000,2026-04-06 14:50:00+05:30,2026-04-06 15:00:00+05:30,10,20,1815.3,1614.15,512.45,590.05,1846.3,1620.6,514.85,591.5,278.75,302.35,-21.25,2.35,472.0,405.14,66.86,Revert
20260406,"(-3,+0)  w=300",300,-3,0,73000,72700,73000,2026-04-06 15:06:00+05:30,2026-04-06 15:20:00+05:30,14,20,1926.6,1722.1,490.05,565.15,1976.9,1750.0,542.85,617.8,279.6,301.85,-20.4,1.85,445.0,416.65,28.35,Revert
20260406,"(-3,+0)  w=300",300,-3,0,73000,72700,73000,2026-04-06 15:21:00+05:30,2026-04-06 15:24:00+05:30,3,20,1976.8,1774.95,530.85,607.8,1956.4,1751.0,530.25,609.6,278.8,284.75,-21.2,-15.25,119.0,419.88,-300.88,EOD
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 10:21:00+05:30,2026-04-13 10:24:00+05:30,3,20,1165.65,990.75,438.5,538.1,1176.8,979.35,442.9,544.9,274.5,299.45,-25.5,-0.55,499.0,338.07,160.93,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 10:41:00+05:30,2026-04-13 10:42:00+05:30,1,20,1157.95,985.2,447.9,549.8,1165.05,966.75,449.5,551.85,274.65,300.65,-25.35,0.65,520.0,338.01,181.99,Revert
20260413,"(-3,+0)  w=300",300,-3,0,76000,75700,76000,2026-04-13 11:54:00+05:30,2026-04-13 11:55:00+05:30,1,20,1330.8,1141.95,360.0,448.45,1377.65,1165.75,353.05,439.15,277.3,298.0,-22.7,-2.0,414.0,346.07,67.93,Revert
