date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500.0,2025-11-10 10:50:00+05:30,2025-11-10 10:55:00+05:30,148.12,155.8,75,-575.63,73.81,-649.44,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 11:50:00+05:30,2025-11-10 12:35:00+05:30,170.1,172.05,75,-146.25,77.53,-223.78,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 13:05:00+05:30,2025-11-10 13:20:00+05:30,172.75,165.9,75,513.75,77.7,436.05,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 13:45:00+05:30,2025-11-10 14:00:00+05:30,151.25,150.5,75,56.25,74.08,-17.83,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 14:45:00+05:30,2025-11-10 15:25:00+05:30,154.02,135.0,75,1426.88,73.96,1352.92,EOD,2025-11
20251111,PE,25550.0,2025-11-11 11:10:00+05:30,2025-11-11 11:15:00+05:30,82.78,88.7,75,-444.37,62.13,-506.5,PrevHigh,2025-11
20251111,PE,25550.0,2025-11-11 11:40:00+05:30,2025-11-11 13:25:00+05:30,84.42,9.35,75,5630.62,59.68,5570.94,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 10:15:00+05:30,2025-11-12 10:25:00+05:30,257.98,258.95,75,-73.12,93.13,-166.25,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 12:15:00+05:30,2025-11-12 12:20:00+05:30,291.77,294.25,75,-185.63,99.19,-284.82,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 13:30:00+05:30,2025-11-12 13:35:00+05:30,312.62,311.55,75,80.62,102.78,-22.16,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 14:05:00+05:30,2025-11-12 14:50:00+05:30,304.4,297.75,75,498.75,101.13,397.62,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 15:15:00+05:30,2025-11-12 15:25:00+05:30,293.73,286.0,75,579.38,99.2,480.18,EOD,2025-11
20251112,PE,25700.0,2025-11-12 10:30:00+05:30,2025-11-12 10:55:00+05:30,69.12,59.25,75,740.62,59.16,681.46,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 11:10:00+05:30,2025-11-12 11:55:00+05:30,56.8,55.85,75,71.25,57.27,13.98,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 12:10:00+05:30,2025-11-12 12:50:00+05:30,54.28,51.05,75,241.88,56.75,185.13,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 14:55:00+05:30,2025-11-12 15:10:00+05:30,52.88,53.45,75,-43.13,56.63,-99.76,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 11:35:00+05:30,2025-11-13 11:55:00+05:30,222.08,234.65,75,-943.13,87.14,-1030.27,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 12:35:00+05:30,2025-11-13 12:55:00+05:30,229.05,221.5,75,566.25,87.7,478.55,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 13:55:00+05:30,2025-11-13 14:15:00+05:30,232.25,180.8,75,3858.75,86.78,3771.97,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 14:55:00+05:30,2025-11-13 15:15:00+05:30,175.38,168.6,75,508.13,78.17,429.96,PrevHigh,2025-11
20251113,PE,25850.0,2025-11-13 09:50:00+05:30,2025-11-13 11:10:00+05:30,100.7,65.9,75,2610.0,63.94,2546.06,PrevHigh,2025-11
20251113,PE,25850.0,2025-11-13 12:00:00+05:30,2025-11-13 12:15:00+05:30,66.18,64.35,75,136.88,58.91,77.97,PrevHigh,2025-11
20251113,PE,25850.0,2025-11-13 13:05:00+05:30,2025-11-13 13:45:00+05:30,66.6,64.05,75,191.25,58.96,132.29,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 10:05:00+05:30,2025-11-14 10:15:00+05:30,94.57,97.35,75,-208.13,64.12,-272.25,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 10:35:00+05:30,2025-11-14 10:45:00+05:30,92.0,96.15,75,-311.25,63.71,-374.96,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 11:30:00+05:30,2025-11-14 12:00:00+05:30,101.65,93.8,75,588.75,65.02,523.73,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 12:35:00+05:30,2025-11-14 12:45:00+05:30,98.58,97.55,75,76.88,64.7,12.18,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 12:55:00+05:30,2025-11-14 13:10:00+05:30,93.5,91.2,75,172.5,63.76,108.74,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 13:40:00+05:30,2025-11-14 14:00:00+05:30,79.42,72.0,75,556.87,61.08,495.79,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 15:00:00+05:30,2025-11-14 15:05:00+05:30,74.65,127.0,75,-3926.25,62.25,-3988.5,PrevHigh,2025-11
20251114,PE,25900.0,2025-11-14 10:50:00+05:30,2025-11-14 11:15:00+05:30,172.15,135.35,75,2760.0,76.58,2683.42,PrevHigh,2025-11
20251114,PE,25900.0,2025-11-14 12:15:00+05:30,2025-11-14 12:30:00+05:30,132.48,141.0,75,-639.37,71.06,-710.43,PrevHigh,2025-11
20251114,PE,25900.0,2025-11-14 13:25:00+05:30,2025-11-14 13:30:00+05:30,132.52,134.35,75,-136.87,70.84,-207.71,PrevHigh,2025-11
20251114,PE,25900.0,2025-11-14 14:15:00+05:30,2025-11-14 14:50:00+05:30,160.32,148.2,75,909.38,75.31,834.06,PrevHigh,2025-11
20251114,PE,25900.0,2025-11-14 15:05:00+05:30,2025-11-14 15:25:00+05:30,127.22,83.0,75,3316.87,68.34,3248.53,EOD,2025-11
20251117,CE,25900.0,2025-11-17 10:05:00+05:30,2025-11-17 10:15:00+05:30,131.85,138.65,75,-510.0,70.89,-580.89,PrevHigh,2025-11
20251117,CE,25900.0,2025-11-17 10:30:00+05:30,2025-11-17 10:55:00+05:30,123.82,119.15,75,350.62,69.07,281.55,PrevHigh,2025-11
20251117,CE,25900.0,2025-11-17 11:20:00+05:30,2025-11-17 11:40:00+05:30,118.32,117.45,75,65.62,68.22,-2.59,PrevHigh,2025-11
20251117,CE,25900.0,2025-11-17 13:10:00+05:30,2025-11-17 13:30:00+05:30,133.88,144.5,75,-796.88,71.38,-868.26,PrevHigh,2025-11
20251117,CE,25900.0,2025-11-17 14:20:00+05:30,2025-11-17 15:00:00+05:30,140.62,140.0,75,46.88,72.2,-25.33,PrevHigh,2025-11
20251118,PE,26000.0,2025-11-18 10:25:00+05:30,2025-11-18 10:30:00+05:30,106.02,126.8,75,-1558.12,66.77,-1624.89,PrevHigh,2025-11
20251118,PE,26000.0,2025-11-18 10:50:00+05:30,2025-11-18 11:25:00+05:30,110.18,90.85,75,1449.38,66.15,1383.22,PrevHigh,2025-11
20251118,PE,26000.0,2025-11-18 11:45:00+05:30,2025-11-18 12:10:00+05:30,69.72,55.25,75,1085.62,59.12,1026.5,PrevHigh,2025-11
20251118,PE,26000.0,2025-11-18 13:05:00+05:30,2025-11-18 13:40:00+05:30,61.55,40.75,75,1560.0,57.45,1502.55,PrevHigh,2025-11
20251119,CE,25900.0,2025-11-19 10:50:00+05:30,2025-11-19 11:20:00+05:30,186.6,172.5,75,1057.5,79.92,977.58,PrevHigh,2025-11
