date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251119,PE,25900,2025-11-19 11:11:00.891000+05:30,2025-11-19 11:39:00.239000+05:30,118.75,105.2,125.0,75,-1016.25,66.37,-1082.62,Flip,2025-11
20251120,PE,26050,2025-11-20 14:33:00.442000+05:30,2025-11-20 15:25:58.660000+05:30,59.9,53.25,61.8,75,-498.75,56.9,-555.65,EOD,2025-11
20251121,CE,26200,2025-11-21 12:13:00.837000+05:30,2025-11-21 13:15:01.191000+05:30,76.65,77.5,103.5,75,63.75,60.96,2.79,Flip,2025-11
20251121,CE,26200,2025-11-21 14:10:00.220000+05:30,2025-11-21 14:48:00.605000+05:30,83.4,68.5,90.2,75,-1117.5,59.89,-1177.39,Flip,2025-11
20251121,PE,26200,2025-11-21 13:15:01.200000+05:30,2025-11-21 14:10:00.229000+05:30,130.25,118.45,157.1,75,-885.0,68.67,-953.67,Flip,2025-11
20251121,PE,26200,2025-11-21 14:45:00.525000+05:30,2025-11-21 15:25:58.792000+05:30,136.15,172.85,182.25,75,2752.5,76.71,2675.79,EOD,2025-11
20251124,PE,26750,2025-11-24 10:56:01.289000+05:30,2025-11-24 11:31:01.135000+05:30,615.9,605.85,642.4,75,-753.75,155.33,-909.08,Flip,2025-11
20251124,PE,26750,2025-11-24 11:51:00.325000+05:30,2025-11-24 12:37:01.413000+05:30,631.25,645.55,670.0,75,1072.5,161.57,910.93,Flip,2025-11
20251124,PE,26750,2025-11-24 12:55:00.323000+05:30,2025-11-24 14:20:23.852000+05:30,654.25,704.25,704.25,75,3750.0,170.8,3579.2,DPT,2025-11
20251125,CE,25950,2025-11-25 11:57:00.915000+05:30,2025-11-25 14:28:00.770000+05:30,58.3,32.15,84.3,75,-1961.25,53.8,-2015.05,Flip,2025-11
20251126,CE,25850,2025-11-26 14:04:01.156000+05:30,2025-11-26 14:36:00.337000+05:30,422.45,391.5,422.5,75,-2321.25,117.9,-2439.15,Flip,2025-11
20251127,CE,26200,2025-11-27 12:46:01.195000+05:30,2025-11-27 13:12:00.596000+05:30,159.3,122.55,164.0,75,-2756.25,70.25,-2826.5,Flip,2025-11
