date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251110,CE,25500.0,2025-11-10 10:45:00+05:30,2025-11-10 10:55:00+05:30,144.05,155.8,75,-881.25,73.23,-954.48,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 11:45:00+05:30,2025-11-10 12:35:00+05:30,165.05,172.05,75,-525.0,76.8,-601.8,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 13:00:00+05:30,2025-11-10 13:20:00+05:30,167.35,165.9,75,108.74999999999915,76.92,31.829999999999146,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 13:40:00+05:30,2025-11-10 14:00:00+05:30,136.9,150.5,75,-1019.9999999999995,72.02,-1092.0199999999995,PrevHigh,2025-11
20251110,CE,25500.0,2025-11-10 14:40:00+05:30,2025-11-10 15:25:00+05:30,151.0,135.0,75,1200.0,73.52,1126.48,EOD,2025-11
20251111,PE,25550.0,2025-11-11 11:05:00+05:30,2025-11-11 11:15:00+05:30,79.3,88.7,75,-705.0000000000005,61.63,-766.6300000000005,PrevHigh,2025-11
20251111,PE,25550.0,2025-11-11 11:35:00+05:30,2025-11-11 13:25:00+05:30,76.8,9.35,75,5058.75,58.58,5000.17,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 10:10:00+05:30,2025-11-12 10:25:00+05:30,256.65,258.95,75,-172.50000000000085,92.94,-265.44000000000085,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 12:10:00+05:30,2025-11-12 12:20:00+05:30,287.55,294.25,75,-502.49999999999915,98.59,-601.0899999999991,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 13:25:00+05:30,2025-11-12 13:35:00+05:30,308.05,311.55,75,-262.5,102.12,-364.62,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 14:00:00+05:30,2025-11-12 14:50:00+05:30,302.45,297.75,75,352.49999999999915,100.85,251.64999999999915,PrevHigh,2025-11
20251112,CE,25700.0,2025-11-12 15:10:00+05:30,2025-11-12 15:25:00+05:30,290.35,286.0,75,326.2500000000017,98.71,227.54000000000173,EOD,2025-11
20251112,PE,25700.0,2025-11-12 10:25:00+05:30,2025-11-12 10:55:00+05:30,67.0,59.25,75,581.25,58.86,522.39,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 11:05:00+05:30,2025-11-12 11:55:00+05:30,56.25,55.85,75,29.999999999999893,57.19,-27.190000000000104,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 12:05:00+05:30,2025-11-12 12:10:00+05:30,53.8,56.25,75,-183.75000000000023,56.85,-240.60000000000022,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 12:25:00+05:30,2025-11-12 12:50:00+05:30,53.25,51.05,75,165.00000000000023,56.6,108.40000000000023,PrevHigh,2025-11
20251112,PE,25700.0,2025-11-12 14:50:00+05:30,2025-11-12 15:10:00+05:30,52.25,53.45,75,-90.00000000000021,56.54,-146.54000000000022,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 11:30:00+05:30,2025-11-13 11:35:00+05:30,218.05,229.0,75,-821.2499999999991,86.36,-907.6099999999991,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 12:30:00+05:30,2025-11-13 12:55:00+05:30,220.85,221.5,75,-48.750000000000426,86.51,-135.26000000000045,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 13:50:00+05:30,2025-11-13 14:15:00+05:30,225.6,180.8,75,3359.9999999999986,85.82,3274.1799999999985,PrevHigh,2025-11
20251113,CE,25850.0,2025-11-13 14:50:00+05:30,2025-11-13 15:15:00+05:30,172.45,168.6,75,288.74999999999955,77.75,210.99999999999955,PrevHigh,2025-11
20251113,PE,25850.0,2025-11-13 09:45:00+05:30,2025-11-13 11:10:00+05:30,95.95,65.9,75,2253.75,63.25,2190.5,PrevHigh,2025-11
20251113,PE,25850.0,2025-11-13 11:55:00+05:30,2025-11-13 12:15:00+05:30,65.3,64.35,75,71.25000000000021,58.79,12.460000000000214,PrevHigh,2025-11
20251113,PE,25850.0,2025-11-13 13:00:00+05:30,2025-11-13 13:45:00+05:30,65.9,64.05,75,138.75000000000063,58.86,79.89000000000063,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 10:00:00+05:30,2025-11-14 10:15:00+05:30,89.1,97.35,75,-618.75,63.33,-682.08,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 10:30:00+05:30,2025-11-14 10:45:00+05:30,88.15,96.15,75,-600.0,63.15,-663.15,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 11:25:00+05:30,2025-11-14 12:00:00+05:30,99.8,93.8,75,450.0,64.75,385.25,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 12:30:00+05:30,2025-11-14 12:45:00+05:30,90.05,97.55,75,-562.5,63.47,-625.97,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 12:50:00+05:30,2025-11-14 13:10:00+05:30,89.55,91.2,75,-123.75000000000043,63.19,-186.94000000000042,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 13:35:00+05:30,2025-11-14 14:00:00+05:30,73.35,72.0,75,101.24999999999957,60.2,41.04999999999957,PrevHigh,2025-11
20251114,CE,25900.0,2025-11-14 14:55:00+05:30,2025-11-14 15:00:00+05:30,70.15,110.9,75,-3056.25,61.06,-3117.31,PrevHigh,2025-11
20251114,PE,25900.0,2025-11-14 10:45:00+05:30,2025-11-14 11:15:00+05:30,163.85,135.35,75,2137.5,75.39,2062.11,PrevHigh,2025-11
