date,pair,width,o1,o2,entry_bar,exit_bar,hold_bars,lot_size,lots,units,open_pairs,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20251211,"(+1,+2)",100,1,2,2025-12-11 09:37:00+05:30,2025-12-11 09:39:00+05:30,2,35,2,70,6,665.475,664.0,497.8,499.1,705.275,649.95,473.7,514.3,2.775,95.925,-100.0,-1.2,6520.5,581.29,5939.21,Revert
20251211,"(+0,+1)",100,0,1,2025-12-11 09:37:00+05:30,2025-12-11 09:39:00+05:30,2,35,2,70,5,782.85,665.475,418.6,497.8,768.55,705.275,431.825,473.7,196.575,105.15,99.73,1.45,6399.75,587.38,5812.37,Revert
20251211,"(-2,+1)",300,-2,1,2025-12-11 09:37:00+05:30,2025-12-11 09:39:00+05:30,2,35,2,70,4,910.5,665.475,348.45,497.8,894.75,705.275,360.35,473.7,394.375,302.825,98.07,-0.8,6408.5,596.71,5811.79,Revert
20251211,"(+2,+3)",100,2,3,2025-12-11 09:37:00+05:30,2025-12-11 09:39:00+05:30,2,35,2,70,3,664.0,559.35,499.1,589.875,649.95,593.65,514.3,562.475,195.425,104.475,98.0,1.48,6366.5,578.11,5788.39,Revert
20251211,"(+0,+3)",300,0,3,2025-12-11 09:37:00+05:30,2025-12-11 09:39:00+05:30,2,35,2,70,2,782.85,559.35,418.6,589.875,768.55,593.65,431.825,562.475,394.775,305.55,97.72,1.73,6245.75,584.21,5661.54,Revert
20251211,"(-2,+3)",500,-2,3,2025-12-11 09:37:00+05:30,2025-12-11 09:39:00+05:30,2,35,2,70,1,910.5,559.35,348.45,589.875,894.75,593.65,360.35,562.475,592.575,503.225,96.07,-0.52,6254.5,593.53,5660.97,Revert
