date,entry_bar,exit_bar,hold_bars,direction,atm_strike,box_strike,dte,fair_box,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_misprice,exit_misprice,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260320,2026-03-20 14:51:00+05:30,2026-03-20 14:52:00+05:30,1,+1 (sell box),54400,54500,10,99.82,562.75,521.85,1400.2,1486.25,567.75,525.05,1426.15,1484.8,126.95,101.35,27.13,1.53,30,768.0,473.13,294.87,Revert,2026-03
20260320,2026-03-20 14:56:00+05:30,2026-03-20 14:58:00+05:30,2,+1 (sell box),54400,54500,10,99.82,555.8,513.35,1429.6,1519.35,541.05,500.85,1462.5,1519.5,132.2,97.2,32.38,-2.62,30,1050.0,475.73,574.27,Revert,2026-03
20260320,2026-03-20 15:05:00+05:30,2026-03-20 15:06:00+05:30,1,+1 (sell box),54400,54500,10,99.82,592.95,551.65,1300.0,1379.15,602.4,553.25,1309.0,1359.4,120.45,99.55,20.63,-0.27,30,627.0,461.39,165.61,Revert,2026-03
20260320,2026-03-20 15:08:00+05:30,2026-03-20 15:12:00+05:30,4,+1 (sell box),54400,54500,10,99.82,574.6,531.7,1321.75,1425.15,528.25,496.45,1393.2,1460.4,146.3,99.0,46.48,-0.82,30,1419.0,464.95,954.05,Revert,2026-03
20260320,2026-03-20 15:21:00+05:30,2026-03-20 15:23:00+05:30,2,-1 (buy box),54400,54500,10,99.82,545.6,503.8,1400.0,1428.25,527.45,486.95,1413.25,1470.8,70.05,98.05,-29.77,-1.77,30,840.0,466.11,373.89,Revert,2026-03
20260323,2026-03-23 11:03:00+05:30,2026-03-23 11:08:00+05:30,5,-1 (buy box),52300,52400,7,99.88,796.0,761.1,1418.2,1461.1,852.1,803.9,1311.4,1361.75,77.8,98.55,-22.08,-1.33,30,622.5,501.16,121.34,Revert,2026-03
20260323,2026-03-23 11:22:00+05:30,2026-03-23 11:24:00+05:30,2,-1 (buy box),52300,52400,7,99.88,839.15,794.3,1326.85,1332.0,852.1,807.85,1296.9,1350.0,50.0,97.35,-49.88,-2.53,30,1420.5,495.82,924.68,Revert,2026-03
20260323,2026-03-23 11:28:00+05:30,2026-03-23 11:31:00+05:30,3,-1 (buy box),52300,52400,7,99.88,846.7,804.75,1320.0,1324.55,856.2,809.15,1274.95,1325.9,46.5,98.0,-53.38,-1.88,30,1545.0,494.6,1050.4,Revert,2026-03
20260323,2026-03-23 11:38:00+05:30,2026-03-23 11:46:00+05:30,8,-1 (buy box),52300,52400,7,99.88,801.8,760.35,1380.0,1417.75,820.1,777.1,1372.5,1430.2,79.2,100.7,-20.68,0.82,30,645.0,500.97,144.03,Revert,2026-03
20260323,2026-03-23 11:50:00+05:30,2026-03-23 11:55:00+05:30,5,+1 (sell box),52300,52400,7,99.88,830.0,778.35,1345.0,1414.15,852.85,806.95,1323.35,1378.0,120.8,100.55,20.92,0.67,30,607.5,499.83,107.67,Revert,2026-03
20260323,2026-03-23 12:52:00+05:30,2026-03-23 12:54:00+05:30,2,-1 (buy box),52300,52400,7,99.88,852.7,806.95,1378.7,1391.15,837.9,790.7,1423.35,1473.5,58.2,97.35,-41.68,-2.53,30,1174.5,508.3,666.2,Revert,2026-03
20260323,2026-03-23 12:58:00+05:30,2026-03-23 13:00:00+05:30,2,+1 (sell box),52300,52400,7,99.88,835.85,793.0,1423.0,1501.9,846.35,798.9,1413.5,1465.65,121.75,99.6,21.87,-0.28,30,664.5,512.31,152.19,Revert,2026-03
20260323,2026-03-23 13:02:00+05:30,2026-03-23 13:03:00+05:30,1,-1 (buy box),52300,52400,7,99.88,847.65,800.0,1435.5,1465.65,843.2,802.3,1428.15,1487.65,77.8,100.4,-22.08,0.52,30,678.0,513.46,164.54,Revert,2026-03
20260323,2026-03-23 13:04:00+05:30,2026-03-23 13:07:00+05:30,3,+1 (sell box),52300,52400,7,99.88,842.35,795.0,1419.85,1494.5,852.15,808.3,1413.2,1470.3,122.0,100.95,22.12,1.07,30,631.5,512.91,118.59,Revert,2026-03
20260323,2026-03-23 13:09:00+05:30,2026-03-23 13:11:00+05:30,2,-1 (buy box),52300,52400,7,99.88,843.0,795.8,1393.85,1413.95,830.0,785.2,1440.95,1495.25,67.3,99.1,-32.58,-0.78,30,954.0,509.67,444.33,Revert,2026-03
20260323,2026-03-23 13:21:00+05:30,2026-03-23 13:30:00+05:30,9,+1 (sell box),52300,52400,7,99.88,849.5,802.8,1382.45,1469.4,893.65,843.25,1337.75,1384.5,133.65,97.15,33.77,-2.73,30,1095.0,508.54,586.46,Revert,2026-03
20260323,2026-03-23 13:34:00+05:30,2026-03-23 13:36:00+05:30,2,+1 (sell box),52300,52400,7,99.88,892.3,844.95,1334.75,1410.0,907.45,858.65,1315.0,1367.0,122.6,100.8,22.72,0.92,30,654.0,507.04,146.96,Revert,2026-03
20260323,2026-03-23 13:51:00+05:30,2026-03-23 14:07:00+05:30,16,-1 (buy box),52300,52400,7,99.88,886.05,842.35,1257.6,1281.65,965.95,916.6,1169.75,1219.8,67.75,99.4,-32.13,-0.48,30,949.5,493.36,456.14,Revert,2026-03
20260323,2026-03-23 14:13:00+05:30,2026-03-23 14:19:00+05:30,6,-1 (buy box),52300,52400,7,99.88,940.0,900.55,1220.0,1238.7,958.05,907.1,1200.05,1250.5,58.15,101.4,-41.73,1.52,30,1297.5,496.29,801.21,Revert,2026-03
20260323,2026-03-23 14:41:00+05:30,2026-03-23 14:44:00+05:30,3,+1 (sell box),52300,52400,7,99.88,796.7,745.35,1352.5,1440.0,831.4,784.5,1297.3,1348.6,138.85,98.2,38.97,-1.68,30,1219.5,495.58,723.92,Revert,2026-03
20260323,2026-03-23 14:47:00+05:30,2026-03-23 14:59:00+05:30,12,-1 (buy box),52300,52400,7,99.88,823.25,776.15,1343.0,1369.65,792.3,745.7,1348.45,1401.6,73.75,99.75,-26.13,-0.13,30,780.0,495.39,284.61,Revert,2026-03
20260323,2026-03-23 15:03:00+05:30,2026-03-23 15:17:00+05:30,14,-1 (buy box),52300,52400,7,99.88,754.35,708.55,1383.7,1404.8,694.05,651.9,1520.35,1576.1,66.9,97.9,-32.98,-1.98,30,930.0,498.83,431.17,Revert,2026-03
20260324,2026-03-24 09:51:00+05:30,2026-03-24 10:00:00+05:30,9,+1 (sell box),52600,52700,6,99.89,734.95,684.5,1100.0,1178.15,747.1,701.0,1073.85,1128.6,128.6,100.85,28.71,0.96,30,832.5,450.88,381.62,Revert,2026-03
20260324,2026-03-24 10:11:00+05:30,2026-03-24 10:14:00+05:30,3,-1 (buy box),52600,52700,6,99.89,664.9,622.4,1201.3,1236.0,686.95,643.1,1158.45,1215.15,77.2,100.55,-22.69,0.66,30,700.5,453.63,246.87,Revert,2026-03
20260324,2026-03-24 10:42:00+05:30,2026-03-24 10:50:00+05:30,8,+1 (sell box),52600,52700,6,99.89,627.55,584.85,1229.55,1330.15,663.45,616.55,1170.1,1221.6,143.3,98.4,43.41,-1.49,30,1347.0,454.66,892.34,Revert,2026-03
20260324,2026-03-24 10:51:00+05:30,2026-03-24 10:52:00+05:30,1,-1 (buy box),52600,52700,6,99.89,632.85,592.35,1203.7,1231.85,617.5,574.3,1240.0,1298.1,68.65,101.3,-31.24,1.41,30,979.5,452.5,527.0,Revert,2026-03
20260324,2026-03-24 11:00:00+05:30,2026-03-24 11:02:00+05:30,2,+1 (sell box),52600,52700,6,99.89,595.0,553.65,1259.75,1338.9,594.8,555.65,1238.15,1298.5,120.5,99.5,20.61,-0.39,30,630.0,453.8,176.2,Revert,2026-03
20260324,2026-03-24 11:13:00+05:30,2026-03-24 11:19:00+05:30,6,-1 (buy box),52600,52700,6,99.89,620.05,582.45,1210.5,1247.6,655.85,611.9,1147.2,1203.75,74.7,100.5,-25.19,0.61,30,774.0,448.38,325.62,Revert,2026-03
20260324,2026-03-24 11:26:00+05:30,2026-03-24 11:29:00+05:30,3,-1 (buy box),52600,52700,6,99.89,636.9,603.7,1190.0,1231.5,643.0,600.75,1175.95,1231.5,74.7,97.8,-25.19,-2.09,30,693.0,449.53,243.47,Revert,2026-03
20260324,2026-03-24 11:30:00+05:30,2026-03-24 11:34:00+05:30,4,+1 (sell box),52600,52700,6,99.89,646.4,603.3,1154.45,1231.5,667.85,619.15,1120.95,1172.25,120.15,100.0,20.26,0.11,30,604.5,446.0,158.5,Revert,2026-03
20260324,2026-03-24 11:36:00+05:30,2026-03-24 11:43:00+05:30,7,-1 (buy box),52600,52700,6,99.89,668.3,625.45,1129.5,1164.6,637.15,597.8,1163.35,1223.7,77.95,99.7,-21.94,-0.19,30,652.5,445.82,206.68,Revert,2026-03
20260324,2026-03-24 11:48:00+05:30,2026-03-24 11:52:00+05:30,4,-1 (buy box),52600,52700,6,99.89,668.95,621.0,1133.05,1164.7,650.65,608.75,1126.9,1184.9,79.6,99.9,-20.29,0.01,30,609.0,443.98,165.02,Revert,2026-03
20260324,2026-03-24 12:15:00+05:30,2026-03-24 12:19:00+05:30,4,+1 (sell box),52600,52700,6,99.89,621.8,578.6,1170.65,1250.0,608.5,572.2,1177.3,1241.0,122.55,100.0,22.66,0.11,30,676.5,446.2,230.3,Revert,2026-03
20260324,2026-03-24 12:21:00+05:30,2026-03-24 12:27:00+05:30,6,+1 (sell box),52600,52700,6,99.89,626.55,583.55,1145.0,1234.95,748.95,698.75,962.2,1013.85,132.95,101.85,33.06,1.96,30,933.0,439.05,493.95,Revert,2026-03
20260324,2026-03-24 12:39:00+05:30,2026-03-24 12:41:00+05:30,2,+1 (sell box),52600,52700,6,99.89,910.7,844.2,840.0,896.75,919.9,866.25,830.85,875.65,123.25,98.45,23.36,-1.44,30,744.0,437.86,306.14,Revert,2026-03
20260324,2026-03-24 13:56:00+05:30,2026-03-24 13:57:00+05:30,1,+1 (sell box),52600,52700,6,99.89,989.85,918.9,764.15,818.0,985.2,930.25,765.65,810.1,124.8,99.4,24.91,-0.49,30,762.0,437.8,324.2,Revert,2026-03
20260325,2026-03-25 12:30:00+05:30,2026-03-25 12:31:00+05:30,1,-1 (buy box),53600,53700,5,99.91,974.4,942.45,577.55,613.6,1001.65,935.45,572.1,606.75,68.0,100.85,-31.91,0.94,30,985.5,410.99,574.51,Revert,2026-03
20260325,2026-03-25 15:22:00+05:30,2026-03-25 15:24:00+05:30,2,-1 (buy box),53600,53700,5,99.91,762.4,721.1,660.3,696.95,774.0,720.35,653.3,697.85,77.95,98.2,-21.96,-1.71,30,607.5,391.58,215.92,Revert,2026-03
20260401,2026-04-01 09:44:00+05:30,2026-04-01 09:50:00+05:30,6,+1 (sell box),52000,52100,27,99.52,1556.0,1504.75,1738.0,1812.85,1594.7,1548.05,1689.1,1743.5,126.1,101.05,26.58,1.53,30,751.5,658.58,92.92,Revert,2026-04
20260401,2026-04-01 09:52:00+05:30,2026-04-01 10:02:00+05:30,10,+1 (sell box),52000,52100,27,99.52,1618.35,1562.75,1656.7,1730.55,1585.5,1540.4,1664.25,1717.45,129.45,98.3,29.93,-1.22,30,934.5,654.76,279.74,Revert,2026-04
